Taxa	Dbh	WD	LA	CEL	HCEL	LIG
2-18	25	0.334		0.390471	0.191676	0.508762
2-19	31.6	0.311	85.646875			
2-2	29	0.327	53.10193548	0.402418	0.158895	0.364421
2-20	27.7	0.299	69.975	0.449701	0.133211	0.101975
2-21	27.7	0.365	83.27095238	0.467285	0.167517	0.299304
2-22	27.1	0.337		0.421506	0.143376	0.206897
2-23	32.5	0.379		0.257713	0.209619	0.453267
2-24	24.8	0.35	90.524375	0.522913	0.172668	0.237316
2-25	31.3	0.35		0.575021	0.172712	0.169002
2-26	25.8	0.355	80.251	0.502156	0.149353	0.27009
2-27	28.8	0.378		0.549405	0.161924	0.226591
2-28	27.2	0.339		0.595209	0.163156	0.161917
2-29	23.3	0.367	74.246875	0.524338	0.243993	0.16451
2-3	28	0.355	53.9975	0.587575	0.175582	0.164366
2-30	25.5	0.38		0.407157	0.153772	0.334139
2-31	23.9	0.394	93.18060606	0.312719	0.183975	0.437962
2-32	23.9	0.394	39.39722222	0.452144	0.152044	0.326022
2-33	25.7	0.365	64.84041667	0.330677	0.14575	0.425631
2-34	23	0.411	85.5966667	0.474736	0.154359	0.24653
2-35	25.2	0.393	90.469375	0.341397	0.25673	0.273117
2-36	25.6	0.364	56.19909091	0.35477	0.147785	0.398637
2-37	27.4	0.367	92.01875	0.374487	0.142141	0.406378
2-38	23.4	0.353	72.20014286	0.281954	0.202664	0.411354
2-39	23.1	0.399	84.98035714	0.440476	0.217087	0.241597
2-4	28.5	0.334	44.7655	0.486499	0.052866	0.283752
2-40	21.6	0.334		0.491768	0.155072	0.277748
2-42	25.9	0.383	90.62666667	0.500413	0.168456	0.23493
2-43	27.2	0.371	64.09	0.368421	0.164474	0.388628
2-44	22.1	0.351	45.33166667	0.495575	0.217155	0.19401
2-6	28.5	0.317	53.64375	0.404797	0.137543	0.20607
2-7	27	0.328	47.35666667	0.405762	0.203125	0.323242
2-8	25.5	0.325	61.6004			
2-9	26	0.321	60.02375	0.41756	0.148545	0.277182
20-10	21.5	0.321	95.44714286	0.427783	0.122355	0.390371
20-11	30.4	0.379		0.534463	0.109229	0.320678
20-12	29.7	0.334	62.991	0.393424	0.162132	0.397203
20-13	25	0.374		0.564944	0.15191	0.245843
20-14	27.5	0.489		0.366831	0.119714	0.439868
20-15	28	0.37		0.549289	0.151423	0.257622
20-16	31.5	0.371		0.304458	0.184125	0.463574
20-17	23.5	0.384		0.305385	0.153715	0.501704
20-18	27.5	0.423		0.536901	0.161416	0.273198
20-19	27.8	0.356	60.513125	0.447271	0.165342	0.36301
20-2	33	0.382	76.733125	0.388004	0.316164	0.233141
20-20	27.5	0.346		0.369498	0.184556	0.404247
20-21	30.1	0.356		0.626897	0.171034	0.189655
20-22	25.2	0.372		0.239242	0.145282	0.554283
20-23	29.6	0.361		0.431994	0.118624	0.33153
20-24	29.7	0.341		0.545908	0.134731	0.242515
20-25	28	0.388		0.684871	0.123666	0.15317
20-26	29	0.393		0.584861	0.095201	0.25478
20-27	28.6	0.362		0.332641	0.161128	0.437685
20-28	26.8	0.347	129.5445455	0.517847	0.156374	0.287252
20-29	24.8	0.371		0.594247	0.128519	0.223378
20-3	30.2	0.353	73.225625	0.35588	0.172414	0.446065
20-30	28.6	0.329	115.06375	0.645631	0.131415	0.15534
20-31	30.7	0.387		0.259737	0.472401	0.154665
20-32	18	0.332	41.405625	0.464016	0.11699	0.32698
20-33	27	0.37	58.79916667	0.448571	0.128163	0.365306
20-34	29	0.362		0.430124	0.130011	0.355939
20-35	25	0.377	55.0775	0.395825	0.15321	0.396219
20-36	27.7	0.374		0.319349	0.126944	0.488246
20-37	29.3	0.359	56.754375	0.522467	0.116207	0.286024
20-38	20	0.318	74.43928571	0.437437	0.073663	0.404137
20-39	29.6	0.392	61.40647059	0.655317	0.138714	0.123581
20-4	28.9	0.397	72.8035	0.360528	0.180433	0.409953
20-41	28.7	0.361	57.904375	0.18365	0.083301	0.639675
20-42	29	0.395	75.2325	0.486205	0.090742	0.372164
20-43	28.2	0.405	63.5025	0.636289	0.1289	0.203612
20-44	27.8	0.366		0.634461	0.133655	0.158347
20-45	27.7	0.388	106.748	0.521339	0.13329	0.27413
20-5	25.9	0.31		0.269297	0.192967	0.481561
20-7	29.4	0.375		0.637795	0.145932	0.180052
20-8	25.1	0.327	69.54166667	0.262132	0.183673	0.506122
20-9	30.2	0.361		0.404186	0.159535	0.303721
21-10	33.3	0.372	73.79928571	0.360175	0.15387	0.391698
21-11	27.2	0.356		0.574666	0.16502	0.202208
